zipcode,lat,lon,state_prefix,tot_cust_zip,tot_sales_zip,tot_sales_zipx10
59033,45.73,-109.77,MT,1,1285,6425
59057,45.84,-108.95,MT,1,1252,6260
59073,46.49,-108.56,MT,1,1281,6405
59076,46.26,-107.07,MT,1,1249,6245
59087,47,-108.29,MT,1,1343,6715
59117,45.63,-108.36,MT,1,1297,6485
59263,48.8,-105.45,MT,1,1232,6160
59332,45.38,-104.75,MT,1,1145,5725
59430,47.31,-109.96,MT,1,1210,6050
59520,48.14,-110.06,MT,1,1268,6340
59846,47.1,-114.44,MT,1,1220,6100
59873,47.71,-115.23,MT,1,1203,6015
59912,48.43,-114.23,MT,1,1224,6120
82083,41.72,-105.99,WY,1,1193,5965
82215,42.38,-104.71,WY,1,1278,6390
82510,42.98,-108.6,WY,1,1137,5685
82514,42.97,-108.92,WY,1,1244,6220
82725,44.87,-105.74,WY,1,1247,6235
82901,41.59,-109.16,WY,1,1352,6760
82935,41.65,-109.63,WY,1,1207,6035
83221,43.21,-112.39,ID,1,1185,5925
83271,42.54,-112.84,ID,1,1254,6270
83274,43.36,-112.11,ID,1,1298,6490
83338,42.71,-114.46,ID,1,1284,6420
83433,44.49,-111.32,ID,1,1242,6210
83442,43.67,-111.87,ID,1,1343,6715
83530,45.92,-116.13,ID,1,1290,6450
83612,44.82,-116.55,ID,1,1192,5960
83638,44.85,-116.04,ID,1,1208,6040
83651,43.58,-116.58,ID,1,1246,6230
83832,46.55,-116.91,ID,1,1249,6245
83844,46.73,-116.99,ID,1,1296,6480
83857,46.87,-116.82,ID,1,1225,6125
84017,40.88,-111.37,UT,1,1242,6210
84043,40.36,-111.89,UT,1,1299,6495
84059,40.29,-111.7,UT,1,1241,6205
84065,40.5,-111.96,UT,1,1230,6150
84086,41.37,-111.22,UT,1,1261,6305
84092,40.55,-111.8,UT,1,1212,6060
84106,40.7,-111.85,UT,1,1313,6565
84107,40.65,-111.88,UT,1,1316,6580
84189,40.76,-111.89,UT,1,1199,5995
84337,41.68,-112.22,UT,1,1268,6340
84401,41.22,-111.98,UT,1,1197,5985
84626,39.92,-111.99,UT,1,1250,6250
84717,37.62,-112.17,UT,2,2536,12680
89019,35.8,-115.57,NV,1,1206,6030
89021,36.61,-114.47,NV,1,1146,5730
89043,38.12,-114.4,NV,1,1237,6185
89108,36.2,-115.22,NV,1,1245,6225
89155,36.19,-115.18,NV,1,1184,5920
89419,40.21,-118.39,NV,1,1199,5995
89821,40.45,-116.51,NV,1,1164,5820
97021,45.43,-121.17,OR,2,2509,12545
97044,45.56,-121.46,OR,1,1293,6465
97058,45.59,-121.18,OR,1,1234,6170
97136,45.62,-123.93,OR,1,1200,6000
97268,45.4,-122.62,OR,1,1212,6060
97269,45.44,-122.63,OR,1,1204,6020
97304,44.96,-123.08,OR,1,1274,6370
97360,44.75,-122.47,OR,1,1319,6595
97361,44.78,-123.3,OR,1,1242,6210
97401,44.06,-123.08,OR,1,1177,5885
97424,43.77,-123.05,OR,1,1266,6330
97442,42.77,-123.38,OR,1,1172,5860
97447,43.33,-122.78,OR,1,1249,6245
97452,43.86,-122.7,OR,1,1343,6715
97458,43.07,-124.05,OR,1,1234,6170
97459,43.43,-124.2,OR,1,1184,5920
97470,43.22,-123.35,OR,1,1262,6310
97601,42.28,-121.88,OR,1,1192,5960
97712,43.78,-120.51,OR,1,1238,6190
97721,43.03,-118.61,OR,1,1197,5985
97734,44.49,-121.21,OR,1,1286,6430
97861,45.61,-120.2,OR,1,1310,6550
97913,43.82,-117.06,OR,1,1250,6250
98021,47.79,-122.22,WA,1,1283,6415
98022,47.19,-121.91,WA,1,1277,6385
98038,47.38,-122.03,WA,1,1243,6215
98056,47.51,-122.18,WA,1,1268,6340
98110,47.65,-122.53,WA,1,1183,5915
98115,47.68,-122.3,WA,1,1190,5950
98198,47.39,-122.31,WA,1,1245,6225
98232,48.55,-122.41,WA,1,1340,6700
98335,47.3,-122.6,WA,2,2468,12340
98349,47.26,-122.76,WA,2,2550,12750
98352,47.21,-122.19,WA,1,1219,6095
98362,48.09,-123.4,WA,2,2512,12560
98363,48.1,-123.63,WA,1,1254,6270
98368,48.1,-122.79,WA,1,1297,6485
98445,47.14,-122.41,WA,1,1263,6315
98481,47.22,-122.47,WA,1,1212,6060
98547,46.78,-124.08,WA,1,1296,6480
98557,47.05,-123.27,WA,1,1294,6470
98563,47.03,-123.6,WA,1,1205,6025
98589,46.85,-122.83,WA,1,1280,6400
98590,46.73,-123.98,WA,1,1287,6435
98596,46.49,-122.92,WA,1,1238,6190
98670,45.85,-121.14,WA,1,1212,6060
98684,45.62,-122.52,WA,1,1331,6655
98829,48.26,-119.73,WA,1,1233,6165
98836,47.48,-120.41,WA,1,1372,6860
98849,48.52,-119.45,WA,1,1186,5930
98853,47.41,-119.28,WA,1,1217,6085
98929,46.74,-121.14,WA,1,1185,5925
99040,47.86,-118.03,WA,1,1238,6190
99134,47.46,-118.38,WA,1,1313,6565
99224,47.63,-117.49,WA,1,1285,6425
99347,46.44,-117.57,WA,1,1170,5850
99349,46.72,-119.88,WA,1,1195,5975
